Frecuencia	Ganancia	Fase
9.26118728128793e+000	3.53231523001762e+000	-6.77139243018677e+001
1.00000000000000e+001	4.39159957193142e+000	-7.27324761323268e+001
1.07977516232771e+001	5.18866781128656e+000	-7.77829040679595e+001
1.16591440117983e+001	5.92384260953486e+000	-8.28310468941987e+001
1.25892541179417e+001	6.59816977885199e+000	-8.78442518222027e+001
1.35935639087853e+001	7.21334505099587e+000	-9.27920743742152e+001
1.46779926762207e+001	7.77162536613061e+000	-9.76468414320419e+001
1.58489319246111e+001	8.27573014968802e+000	-1.02384067123142e+002
1.71132830416178e+001	8.72873790528365e+000	-1.06982719801290e+002
1.84784979742229e+001	9.13398306265908e+000	-1.11425346009567e+002
1.99526231496888e+001	9.49495741853647e+000	-1.15698063833824e+002
2.15443469003188e+001	9.81521972970912e+000	-1.19790443244320e+002
2.32630506715363e+001	1.00983161092977e+001	-1.23695294629656e+002
2.51188643150958e+001	1.03477129072811e+001	-1.27408388566627e+002
2.71227257933203e+001	1.05667428062285e+001	-1.30928129923253e+002
2.92864456462524e+001	1.07585640118020e+001	-1.34255207848484e+002
3.16227766016838e+001	1.09261317267264e+001	-1.37392240427839e+002
3.41454887383360e+001	1.10721806002561e+001	-1.40343429247041e+002
3.68694506451957e+001	1.11992165478075e+001	-1.43114235280265e+002
3.98107170553497e+001	1.13095162174183e+001	-1.45711083811532e+002
4.29866234708228e+001	1.14051324064580e+001	-1.48141102799006e+002
4.64158883361278e+001	1.14879038619676e+001	-1.50411896370208e+002
5.01187233627272e+001	1.15594680912143e+001	-1.52531353049352e+002
5.41169526546464e+001	1.16212760316007e+001	-1.54507486842103e+002
5.84341413373518e+001	1.16746076546346e+001	-1.56348308362141e+002
6.30957344480193e+001	1.17205877903410e+001	-1.58061722678118e+002
6.81292069057961e+001	1.17602016453004e+001	-1.59655450384102e+002
7.35642254459641e+001	1.17943096454923e+001	-1.61136968455324e+002
7.94328234724281e+001	1.18236613632289e+001	-1.62513467662738e+002
8.57695898590894e+001	1.18489083879345e+001	-1.63791823620460e+002
9.26118728128793e+001	1.18706160765581e+001	-1.64978578882159e+002
1.00000000000000e+002	1.18892741748953e+001	-1.66079933852523e+002
1.07977516232771e+002	1.19053063399102e+001	-1.67101744616374e+002
1.16591440117983e+002	1.19190786188532e+001	-1.68049526097951e+002
1.25892541179417e+002	1.19309069566379e+001	-1.68928459239664e+002
1.35935639087853e+002	1.19410638112104e+001	-1.69743401131167e+002
1.46779926762207e+002	1.19497839594779e+001	-1.70498897226426e+002
1.58489319246111e+002	1.19572695755796e+001	-1.71199194960967e+002
1.71132830416178e+002	1.19636946599066e+001	-1.71848258226892e+002
1.84784979742229e+002	1.19692088924624e+001	-1.72449782283006e+002
1.99526231496888e+002	1.19739409784172e+001	-1.73007208775243e+002
2.15443469003188e+002	1.19780015476479e+001	-1.73523740621686e+002
2.32630506715363e+002	1.19814856639331e+001	-1.74002356580025e+002
2.51188643150958e+002	1.19844749935610e+001	-1.74445825365893e+002
