Frecuencia	Ganancia	Fase
3.98107170553497e+001	1.17728983113324e+001	-1.45164510427414e+002
4.29866234708228e+001	1.18719751295487e+001	-1.47627990110543e+002
4.64158883361278e+001	1.19577895542203e+001	-1.49931016389130e+002
5.01187233627272e+001	1.20320207110018e+001	-1.52081349068862e+002
5.41169526546464e+001	1.20961592756810e+001	-1.54086916358619e+002
5.84341413373518e+001	1.21515224995870e+001	-1.55955679087075e+002
6.30957344480193e+001	1.21992696894105e+001	-1.57695522097289e+002
6.81292069057961e+001	1.22404175635822e+001	-1.59314169492412e+002
7.35642254459641e+001	1.22758550708186e+001	-1.60819120372680e+002
7.94328234724281e+001	1.23063573913614e+001	-1.62217601850426e+002
8.57695898590894e+001	1.23325989490834e+001	-1.63516536387433e+002
9.26118728128793e+001	1.23551653453207e+001	-1.64722520815080e+002
1.00000000000000e+002	1.23745641867303e+001	-1.65841814734535e+002
1.07977516232771e+002	1.23912348232617e+001	-1.66880336326331e+002
1.16591440117983e+002	1.24055570420693e+001	-1.67843663909869e+002
1.25892541179417e+002	1.24178587820626e+001	-1.68737041875031e+002
1.35935639087853e+002	1.24284229444951e+001	-1.69565389856270e+002
1.46779926762207e+002	1.24374933796429e+001	-1.70333314233773e+002
1.58489319246111e+002	1.24452801301757e+001	-1.71045121228252e+002
1.71132830416178e+002	1.24519640093555e+001	-1.71704831008257e+002
1.84784979742229e+002	1.24577005880446e+001	-1.72316192355101e+002
1.99526231496888e+002	1.24626236591397e+001	-1.72882697533855e+002
2.15443469003188e+002	1.24668482422580e+001	-1.73407597102893e+002
2.32630506715363e+002	1.24704731854773e+001	-1.73893914462042e+002
2.51188643150958e+002	1.24735834150910e+001	-1.74344459993516e+002
2.71227257933203e+002	1.24762518786970e+001	-1.74761844692582e+002
2.92864456462524e+002	1.24785412217647e+001	-1.75148493218621e+002
3.16227766016838e+002	1.24805052329651e+001	-1.75506656323470e+002
3.41454887383360e+002	1.24821900892825e+001	-1.75838422634173e+002
3.68694506451957e+002	1.24836354279504e+001	-1.76145729782710e+002
3.98107170553497e+002	1.24848752687836e+001	-1.76430374886865e+002
4.29866234708228e+002	1.24859388074808e+001	-1.76694024394956e+002
4.64158883361278e+002	1.24868510976110e+001	-1.76938223313319e+002
5.01187233627272e+002	1.24876336367396e+001	-1.77164403839739e+002
5.41169526546464e+002	1.24883048700441e+001	-1.77373893428852e+002
5.84341413373517e+002	1.24888806228685e+001	-1.77567922317234e+002
6.30957344480193e+002	1.24893744722261e+001	-1.77747630536795e+002
6.81292069057961e+002	1.24897980657769e+001	-1.77914074445231e+002
7.35642254459641e+002	1.24901613956603e+001	-1.78068232802064e+002
7.94328234724281e+002	1.24904730335601e+001	-1.78211012418119e+002
8.57695898590894e+002	1.24907403324462e+001	-1.78343253405438e+002
9.26118728128793e+002	1.24909695997371e+001	-1.78465734053524e+002
1.00000000000000e+003	1.24911662458534e+001	-1.78579175356689e+002
1.07977516232771e+003	1.24913349117206e+001	-1.78684245215991e+002
