Frecuencia	Real	Imag
3.98107170553497e+001	-1.94138866412509e-006	-1.54661954665629e-005
4.29866234708228e+001	-2.63544680569138e-006	-1.94325293787282e-005
4.64158883361278e+001	-3.57683207546811e-006	-2.44080969774188e-005
5.01187233627272e+001	-4.85321409738818e-006	-3.06460132921608e-005
5.41169526546464e+001	-6.58306988819051e-006	-3.84611668131561e-005
5.84341413373518e+001	-8.92635511081248e-006	-4.82445035294752e-005
6.30957344480193e+001	-1.20987832338430e-005	-6.04802440961113e-005
6.81292069057961e+001	-1.63908820509520e-005	-7.57664594770811e-005
7.35642254459641e+001	-2.21933475287504e-005	-9.48394004128280e-005
7.94328234724281e+001	-3.00306543197243e-005	-1.18601883430211e-004
8.57695898590894e+001	-4.06054236219293e-005	-1.48155845818740e-004
9.26118728128793e+001	-5.48567014403670e-005	-1.84838845311343e-004
1.00000000000000e+002	-7.40360637022648e-005	-2.30263731368694e-004
1.07977516232771e+002	-9.98063223184892e-005	-2.86359868219647e-004
1.16591440117983e+002	-1.34368513296263e-004	-3.55413037955974e-004
1.25892541179417e+002	-1.80623715802808e-004	-4.40099368273981e-004
1.35935639087853e+002	-2.42376927161520e-004	-5.43506175747395e-004
1.46779926762207e+002	-3.24590462959078e-004	-6.69129360638708e-004
1.58489319246111e+002	-4.33693811681860e-004	-8.20832842721005e-004
1.71132830416178e+002	-5.77955067639357e-004	-1.00275049386516e-003
1.84784979742229e+002	-7.67915382463596e-004	-1.21910528029558e-003
1.99526231496888e+002	-1.01688160750588e-003	-1.47391432879321e-003
2.15443469003188e+002	-1.34146273809625e-003	-1.77054321921456e-003
2.32630506715363e+002	-1.76212237707003e-003	-2.11106931110017e-003
2.51188643150958e+002	-2.30370210485648e-003	-2.49541419049161e-003
2.71227257933203e+002	-2.99585005017819e-003	-2.92021166341616e-003
2.92864456462524e+002	-3.87326691463847e-003	-3.37739255463283e-003
3.16227766016838e+002	-4.97566144456793e-003	-3.85249292170908e-003
3.41454887383360e+002	-6.34729351733364e-003	-4.32272901570019e-003
3.68694506451957e+002	-8.03598127484881e-003	-4.75492920697059e-003
3.98107170553497e+002	-1.00914648077692e-002	-5.10346616685617e-003
4.29866234708228e+002	-1.25630571276469e-002	-5.30838485539155e-003
4.64158883361278e+002	-1.54965749787252e-002	-5.29396382705187e-003
5.01187233627272e+002	-1.89306246132919e-002	-4.96796843136612e-003
5.41169526546464e+002	-2.28924133616255e-002	-4.22184493587606e-003
5.84341413373517e+002	-2.73933546675965e-002	-2.93205775287347e-003
6.30957344480193e+002	-3.24248171713627e-002	-9.62685989161991e-004
6.81292069057961e+002	-3.79544211998519e-002	1.83072526425031e-003
7.35642254459641e+002	-4.39232936280001e-002	5.59620813706620e-003
7.94328234724281e+002	-5.02446432936703e-002	1.04796097173674e-002
8.57695898590894e+002	-5.68039097954241e-002	1.66184579075731e-002
9.26118728128793e+002	-6.34605747327540e-002	2.41359788718835e-002
1.00000000000000e+003	-7.00515250854490e-002	3.31358114029928e-002
1.07977516232771e+003	-7.63956544134431e-002	4.36979019039707e-002
1.16591440117983e+003	-8.22992170687778e-002	5.58759187669945e-002
1.25892541179417e+003	-8.75613500766241e-002	6.96963160922550e-002
1.35935639087853e+003	-9.19791709344845e-002	8.51589401101509e-002
1.46779926762207e+003	-9.53519512902860e-002	1.02238851892285e-001
1.58489319246111e+003	-9.74840383574188e-002	1.20888877941714e-001
1.71132830416178e+003	-9.81864135860045e-002	1.41042322624640e-001
1.84784979742229e+003	-9.72770010149469e-002	1.62615289746521e-001
1.99526231496888e+003	-9.45800303157922e-002	1.85508152825052e-001
2.15443469003188e+003	-8.99248988099630e-002	2.09605860857163e-001
2.32630506715363e+003	-8.31450543452525e-002	2.34776941742183e-001
