time	V(vc_vo)
2.974803919260946e-002	5.971036e+000
2.982803919260946e-002	6.163165e+000
2.990803919260945e-002	6.861078e+000
2.998803919260945e-002	8.079263e+000
3.006803919260945e-002	9.805232e+000
3.014803919260944e-002	1.199310e+001
3.022803919260944e-002	1.454312e+001
3.030803919260944e-002	1.726477e+001
3.034267317806894e-002	1.835053e+001
3.036116654796447e-002	1.878105e+001
3.036894058258491e-002	1.889947e+001
3.038059474487836e-002	1.903138e+001
3.039158622881505e-002	1.913520e+001
3.040162427976650e-002	1.921331e+001
3.041436753157012e-002	1.929551e+001
3.042793380976916e-002	1.936744e+001
3.044668688090504e-002	1.944766e+001
3.046751153297417e-002	1.951823e+001
3.049739978116317e-002	1.959639e+001
3.053002785639380e-002	1.965670e+001
3.057045060431277e-002	1.968724e+001
3.061479790724911e-002	1.964307e+001
3.067281065902575e-002	1.944559e+001
3.073904264948929e-002	1.902550e+001
3.081904264948929e-002	1.826043e+001
3.089904264948928e-002	1.724364e+001
3.097904264948928e-002	1.600299e+001
3.105904264948928e-002	1.459055e+001
3.113904264948927e-002	1.306876e+001
3.121904264948927e-002	1.150969e+001
3.129904264948927e-002	9.993237e+000
3.137904264948926e-002	8.604502e+000
3.145904264948926e-002	7.430348e+000
3.153904264948926e-002	6.555156e+000
3.161904264948925e-002	6.056034e+000
3.169904264948925e-002	5.997893e+000
3.177904264948925e-002	6.428769e+000
3.185904264948924e-002	7.375647e+000
3.193904264948924e-002	8.840648e+000
3.201904264948924e-002	1.079659e+001
3.209904264948923e-002	1.317684e+001
3.217904264948923e-002	1.583761e+001
3.224186701440499e-002	1.792473e+001
3.226933986209776e-002	1.864791e+001
3.228988838102367e-002	1.899010e+001
3.229698475023426e-002	1.906835e+001
3.230744134791513e-002	1.915956e+001
3.231731954673722e-002	1.923279e+001
3.232990581450662e-002	1.931042e+001
3.234459588147257e-002	1.938471e+001
3.236473167992895e-002	1.946641e+001
3.238722000176722e-002	1.953798e+001
3.241926958739405e-002	1.961537e+001
3.245427144050639e-002	1.967013e+001
3.249776565733015e-002	1.968277e+001
3.254351500121061e-002	1.960759e+001
3.260234184085648e-002	1.936385e+001
3.266785019061788e-002	1.889958e+001
3.274785019061788e-002	1.807926e+001
3.282785019061787e-002	1.701546e+001
3.290785019061787e-002	1.573752e+001
3.298785019061787e-002	1.429924e+001
3.306785019061787e-002	1.276507e+001
3.314785019061786e-002	1.120879e+001
3.322785019061786e-002	9.711516e+000
3.330785019061786e-002	8.358939e+000
3.338785019061785e-002	7.237726e+000
3.346785019061785e-002	6.431158e+000
3.354785019061785e-002	6.014282e+000
3.362785019061784e-002	6.049005e+000
3.370785019061784e-002	6.579507e+000
3.378785019061784e-002	7.628171e+000
3.386785019061783e-002	9.191761e+000
3.394785019061783e-002	1.123660e+001
3.402785019061783e-002	1.368568e+001
3.410785019061782e-002	1.638696e+001
3.415134069263481e-002	1.786238e+001
3.417428459664398e-002	1.848381e+001
3.420531368023927e-002	1.902465e+001
3.421128276241486e-002	1.909220e+001
3.422172309138721e-002	1.917824e+001
3.423258669570384e-002	1.925410e+001
3.424782043657568e-002	1.934099e+001
3.426634584605842e-002	1.942572e+001
3.428851139187997e-002	1.950442e+001
3.432031693875146e-002	1.959036e+001
3.435439720996314e-002	1.965262e+001
3.440277143572920e-002	1.968362e+001
