Time	Vo
547	6.40000
548	6.32000
549	6.16000
550	5.92000
551	5.76000
552	5.52000
553	5.28000
554	5.04000
555	4.72000
556	4.48000
557	4.08000
558	3.76000
559	3.44000
560	3.04000
561	2.56000
562	2.24000
563	1.76000
564	1.36000
565	0.88000
566	0.56000
567	0.08000
568	-0.32000
569	-0.80000
570	-1.28000
571	-1.68000
572	-2.08000
573	-2.48000
574	-2.88000
575	-3.28000
576	-3.68000
577	-4.00000
578	-4.32000
579	-4.72000
580	-5.04000
581	-5.28000
582	-5.52000
583	-5.84000
584	-6.00000
585	-6.24000
586	-6.40000
587	-6.56000
588	-6.64000
589	-6.72000
590	-6.80000
591	-6.80000
592	-6.80000
593	-6.72000
594	-6.72000
595	-6.64000
596	-6.48000
597	-6.32000
598	-6.16000
599	-6.00000
600	-5.76000
601	-5.36000
602	-5.04000
603	-4.72000
604	-4.32000
605	-3.84000
606	-3.44000
607	-2.96000
608	-2.40000
609	-1.92000
610	-1.36000
611	-0.80000
612	-0.24000
613	0.48000
614	1.04000
615	1.60000
616	2.32000
617	2.96000
618	3.60000
619	4.16000
620	4.80000
621	5.28000
622	5.76000
623	6.00000
624	6.16000
625	6.24000
626	6.32000
627	6.48000
628	6.48000
629	6.56000
630	6.56000
631	6.56000
632	6.56000
633	6.48000
634	6.40000
635	6.24000
636	6.16000
637	5.92000
638	5.76000
639	5.52000
640	5.36000
641	5.04000
642	4.72000
643	4.40000
644	4.16000
645	3.76000
646	3.44000
647	3.04000
648	2.64000
649	2.24000
650	1.84000
651	1.44000
652	0.96000
653	0.56000
654	0.16000
655	-0.32000
656	-0.72000
657	-1.20000
658	-1.60000
659	-2.00000
660	-2.40000
661	-2.88000
662	-3.28000
663	-3.60000
664	-4.00000
665	-4.40000
666	-4.64000
667	-4.96000
668	-5.28000
669	-5.52000
670	-5.84000
671	-6.00000
672	-6.24000
673	-6.32000
674	-6.48000
675	-6.64000
676	-6.72000
677	-6.80000
678	-6.88000
679	-6.88000
680	-6.80000
681	-6.72000
682	-6.56000
683	-6.48000
684	-6.40000
685	-6.16000
686	-5.92000
687	-5.76000
688	-5.36000
689	-5.12000
690	-4.72000
691	-4.32000
692	-3.92000
693	-3.52000
694	-2.96000
695	-2.48000
696	-2.00000
697	-1.36000
698	-0.88000
699	-0.24000
700	0.32000
