Frecuencia	Ganancia	Fase
1.99526231496888e+003	1.27943370092209e+001	-1.79567782658903e+002
2.15443469003188e+003	1.27943627575266e+001	-1.79603447416458e+002
2.32630506715363e+003	1.27943848143877e+001	-1.79636775093617e+002
2.51188643150958e+003	1.27944037005379e+001	-1.79667962087726e+002
2.71227257933203e+003	1.27944198618599e+001	-1.79697192185822e+002
2.92864456462524e+003	1.27944336799106e+001	-1.79724637646487e+002
3.16227766016838e+003	1.27944454809213e+001	-1.79750460214036e+002
3.41454887383360e+003	1.27944555435099e+001	-1.79774812070952e+002
3.68694506451957e+003	1.27944641052466e+001	-1.79797836734148e+002
3.98107170553497e+003	1.27944713682748e+001	-1.79819669900295e+002
4.29866234708228e+003	1.27944775040704e+001	-1.79840440245166e+002
4.64158883361278e+003	1.27944826574998e+001	-1.79860270181692e+002
5.01187233627272e+003	1.27944869502338e+001	-1.79879276581169e+002
5.41169526546464e+003	1.27944904836233e+001	-1.79897571461869e+002
5.84341413373518e+003	1.27944933410920e+001	-1.79915262649076e+002
6.30957344480193e+003	1.27944955901021e+001	-1.79932454410456e+002
6.81292069057961e+003	1.27944972837591e+001	-1.79949248070480e+002
7.35642254459641e+003	1.27944984620458e+001	-1.79965742607516e+002
7.94328234724281e+003	1.27944991527828e+001	-1.79982035237108e+002
8.57695898590894e+003	1.27944993722777e+001	-1.79998221984883e+002
9.26118728128794e+003	1.27944991257133e+001	1.79985601747560e+002
1.00000000000000e+004	1.27944984072707e+001	1.79969340620436e+002
1.07977516232771e+004	1.27944971999829e+001	1.79952898793919e+002
1.16591440117983e+004	1.27944954753475e+001	1.79936179363358e+002
1.25892541179417e+004	1.27944931926503e+001	1.79919083788208e+002
1.35935639087853e+004	1.27944902979925e+001	1.79901511311365e+002
1.46779926762207e+004	1.27944867230330e+001	1.79883358365428e+002
1.58489319246111e+004	1.27944823833684e+001	1.79864517962428e+002
1.71132830416178e+004	1.27944771765384e+001	1.79844879063465e+002
1.84784979742229e+004	1.27944709796154e+001	1.79824325924456e+002
1.99526231496888e+004	1.27944636462895e+001	1.79802737414274e+002
2.15443469003188e+004	1.27944550034286e+001	1.79779986301158e+002
2.32630506715363e+004	1.27944448469791e+001	1.79755938503276e+002
2.51188643150958e+004	1.27944329371553e+001	1.79730452299055e+002
2.71227257933203e+004	1.27944189927841e+001	1.79703377492578e+002
2.92864456462524e+004	1.27944026846530e+001	1.79674554529277e+002
3.16227766016838e+004	1.27943836277530e+001	1.79643813556662e+002
3.41454887383360e+004	1.27943613721909e+001	1.79610973424667e+002
3.68694506451958e+004	1.27943353925576e+001	1.79575840619755e+002
3.98107170553497e+004	1.27943050755460e+001	1.79538208126661e+002
4.29866234708228e+004	1.27942697054700e+001	1.79497854211135e+002
4.64158883361278e+004	1.27942284473725e+001	1.79454541116601e+002
5.01187233627272e+004	1.27941803273324e+001	1.79408013667439e+002
5.41169526546464e+004	1.27941242094836e+001	1.79357997770677e+002
5.84341413373518e+004	1.27940587692279e+001	1.79304198807665e+002
6.30957344480193e+004	1.27939824619919e+001	1.79246299906698e+002
6.81292069057961e+004	1.27938934867976e+001	1.79183960086718e+002
7.35642254459641e+004	1.27937897438218e+001	1.79116812261965e+002
7.94328234724282e+004	1.27936687848871e+001	1.79044461096379e+002
8.57695898590894e+004	1.27935277557828e+001	1.78966480696186e+002
9.26118728128793e+004	1.27933633290358e+001	1.78882412128309e+002
1.00000000000000e+005	1.27931716255647e+001	1.78791760751271e+002
1.07977516232771e+005	1.27929481233791e+001	1.78693993345057e+002
1.16591440117983e+005	1.27926875512183e+001	1.78588535025240e+002
1.25892541179417e+005	1.27923837646291e+001	1.78474765926199e+002
1.35935639087853e+005	1.27920296016353e+001	1.78352017637650e+002
1.46779926762207e+005	1.27916167146319e+001	1.78219569378560e+002
1.58489319246111e+005	1.27911353746490e+001	1.78076643891247e+002
1.71132830416178e+005	1.27905742434995e+001	1.77922403039675e+002
1.84784979742229e+005	1.27899201085656e+001	1.77755943094974e+002
1.99526231496888e+005	1.27891575742590e+001	1.77576289692673e+002
2.15443469003188e+005	1.27882687031249e+001	1.77382392446262e+002
2.32630506715363e+005	1.27872325986081e+001	1.77173119204610e+002
2.51188643150958e+005	1.27860249201746e+001	1.76947249942630e+002
2.71227257933203e+005	1.27846173201808e+001	1.76703470278351e+002
2.92864456462524e+005	1.27829767902370e+001	1.76440364615207e+002
3.16227766016838e+005	1.27810649031357e+001	1.76156408915082e+002
3.41454887383360e+005	1.27788369344025e+001	1.75849963117042e+002
3.68694506451958e+005	1.27762408454334e+001	1.75519263228541e+002
3.98107170553497e+005	1.27732161078379e+001	1.75162413132451e+002
4.29866234708228e+005	1.27696923461090e+001	1.74777376172060e+002
4.64158883361278e+005	1.27655877732076e+001	1.74361966603557e+002
5.01187233627272e+005	1.27608073909879e+001	1.73913841035222e+002
