Frecuencia	Ganancia	Fase
4.29866234708228e+005	1.15988891613593e+001	1.79838686805192e+002
4.64158883361278e+005	1.15988856850884e+001	1.79825511874124e+002
5.01187233627272e+005	1.15988816319069e+001	1.79811308541954e+002
5.41169526546464e+005	1.15988769061215e+001	1.79795993099235e+002
5.84341413373517e+005	1.15988713961547e+001	1.79779475282502e+002
6.30957344480193e+005	1.15988649719211e+001	1.79761657742872e+002
6.81292069057961e+005	1.15988574817430e+001	1.79742435472327e+002
7.35642254459641e+005	1.15988487487868e+001	1.79721695185382e+002
7.94328234724281e+005	1.15988385668688e+001	1.79699314651417e+002
8.57695898590894e+005	1.15988266956065e+001	1.79675161975231e+002
9.26118728128793e+005	1.15988128547291e+001	1.79649094820572e+002
1.00000000000000e+006	1.15987967174731e+001	1.79620959571175e+002
1.07977516232771e+006	1.15987779028633e+001	1.79590590427405e+002
1.16591440117983e+006	1.15987559667219e+001	1.79557808430196e+002
1.25892541179417e+006	1.15987303911841e+001	1.79522420407948e+002
1.35935639087853e+006	1.15987005724790e+001	1.79484217840131e+002
1.46779926762207e+006	1.15986658066821e+001	1.79442975631440e+002
1.58489319246111e+006	1.15986252731000e+001	1.79398450788207e+002
1.71132830416178e+006	1.15985780149137e+001	1.79350380991343e+002
1.84784979742229e+006	1.15985229165968e+001	1.79298483054828e+002
1.99526231496888e+006	1.15984586776144e+001	1.79242451264743e+002
2.15443469003188e+006	1.15983837817378e+001	1.79181955585526e+002
2.32630506715363e+006	1.15982964612990e+001	1.79116639726574e+002
2.51188643150958e+006	1.15981946555128e+001	1.79046119055438e+002
2.71227257933203e+006	1.15980759619090e+001	1.78969978349913e+002
2.92864456462524e+006	1.15979375797140e+001	1.78887769371907e+002
3.16227766016838e+006	1.15977762438887e+001	1.78799008253632e+002
3.41454887383360e+006	1.15975881482386e+001	1.78703172682001e+002
3.68694506451957e+006	1.15973688558419e+001	1.78599698863142e+002
3.98107170553497e+006	1.15971131946702e+001	1.78487978256387e+002
4.29866234708228e+006	1.15968151360078e+001	1.78367354058656e+002
4.64158883361278e+006	1.15964676528207e+001	1.78237117418737e+002
5.01187233627272e+006	1.15960625548211e+001	1.78096503375520e+002
5.41169526546464e+006	1.15955902963919e+001	1.77944686482496e+002
5.84341413373517e+006	1.15950397530334e+001	1.77780776128037e+002
